onset	duration	offset	trial_type	
0.001	13.999	14	baseline	
14.001	10.51	24.511	Spoon_Atypical	
24.512	10	34.512	baseline	
34.513	10.515	45.028	Bar_P_Typical	
45.029	9.999	55.028	baseline	
55.029	10.516	65.545	Bar_K_Atypical	
65.546	9.999	75.545	baseline	
75.546	10.515	86.061	Spoon_Typical	
86.062	9.999	96.061	baseline	
96.062	10.516	106.578	Bar_W_Atypical	
106.579	9.999	116.578	baseline	
116.579	10.516	127.095	Bar_K_Typical	
127.096	9.999	137.095	baseline	
137.096	10.515	147.611	Pizzac_Atypical	
147.612	9.999	157.611	baseline	
157.612	10.516	168.128	Bar_W_Typical	
168.129	9.999	178.128	baseline	
178.129	10.515	188.644	Knife_Atypical	
188.645	10.009	198.654	baseline	
198.655	10.506	209.161	Bar_S_Typical	
209.162	9.999	219.161	baseline	
219.162	10.516	229.678	Bar_P_Atypical	
229.679	9.999	239.678	baseline	
239.679	10.515	250.194	Pizzac_Typical	
250.195	10	260.195	baseline	
260.196	10.515	270.711	Whisk_Typical	
270.712	9.999	280.711	baseline	
280.712	10.516	291.228	Bar_S_Atypical	
291.229	9.999	301.228	baseline	
301.229	10.515	311.744	Whisk_Atypical	
311.745	9.999	321.744	baseline	
321.745	10.516	332.261	Knife_Typical	
332.262	9.999	342.261	baseline	
342.262	14	356.262	baseline	
