onset	duration	trial_type	catch_trial	trial_phase	XDAT	stim_dot_position	score	score_txt	latency_to_first_saccade
7.5	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
9.0	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
10.5	1.5	REWARD	NONCATCH	RESPONSE	182	108	2	ERROR_CORRECTED	0.383
16.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
19.5	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
21.0	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
22.5	1.5	REWARD	NONCATCH	RESPONSE	185	532	1	CORRECT	0.45
25.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
27.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
28.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	-1	DROP	-0.001
31.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
33.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
34.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	-1	DROP	-0.001
42.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
43.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
46.5	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
48.0	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
49.5	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	1	CORRECT	0.65
52.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
54.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
55.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	2	ERROR_CORRECTED	0.383
66.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
67.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
70.5	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
72.0	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
73.5	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	2	ERROR_CORRECTED	0.45
76.5	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
78.0	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
79.5	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	1	CORRECT	0.6
88.5	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
90.0	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
91.5	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	2	ERROR_CORRECTED	0.417
97.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
99.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
100.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	2	ERROR_CORRECTED	0.417
103.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
105.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
106.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	2	ERROR_CORRECTED	0.433
109.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
111.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
112.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	1	CORRECT	0.517
118.5	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
120.0	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
121.5	1.5	REWARD	NONCATCH	RESPONSE	182	108	-1	DROP	-0.001
124.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
127.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
129.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
132.0	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
133.5	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
135.0	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.683
138.0	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
141.0	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
142.5	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
144.0	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	2	ERROR_CORRECTED	0.3
150.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
151.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
153.0	1.5	NEUTRAL	NONCATCH	RESPONSE	162	108	2	ERROR_CORRECTED	0.5
156.0	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
157.5	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
174.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
175.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
178.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
180.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
181.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.483
184.5	1.5	REWARD	NONCATCH	CUE	185	n/a	n/a	n/a	n/a
186.0	1.5	REWARD	NONCATCH	PREP	185	n/a	n/a	n/a	n/a
187.5	1.5	REWARD	NONCATCH	RESPONSE	185	532	-1	DROP	-0.001
190.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
192.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
193.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	1	CORRECT	0.533
196.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
198.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
199.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	2	ERROR_CORRECTED	0.4
202.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
204.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
205.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	2	ERROR_CORRECTED	0.417
211.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
213.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
214.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.717
220.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
223.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
231.0	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
232.5	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
234.0	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	2	ERROR_CORRECTED	0.4
250.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
252.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
253.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	2	ERROR_CORRECTED	0.383
256.5	1.5	NEUTRAL	NONCATCH	CUE	161	n/a	n/a	n/a	n/a
258.0	1.5	NEUTRAL	NONCATCH	PREP	161	n/a	n/a	n/a	n/a
259.5	1.5	NEUTRAL	NONCATCH	RESPONSE	161	7	1	CORRECT	0.533
262.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
264.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
265.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	1	CORRECT	0.483
268.5	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
270.0	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
273.0	1.5	NEUTRAL	NONCATCH	CUE	162	n/a	n/a	n/a	n/a
274.5	1.5	NEUTRAL	NONCATCH	PREP	162	n/a	n/a	n/a	n/a
