onset	duration	offset	trial_type	
0.001	13.999	14	baseline	
14.001	14	28.001	chairs	
28.002	14	42.002	bodies	
42.003	14	56.003	tools	
56.004	14	70.004	hands	
70.005	14	84.005	scrambled	
84.006	14	98.006	tools	
98.007	14	112.007	bodies	
112.008	14	126.008	hands	
126.009	14.001	140.01	chairs	
140.011	14	154.011	scrambled	
154.012	14	168.012	tools	
168.013	14	182.013	chairs	
182.014	14	196.014	bodies	
196.015	14	210.015	hands	
210.016	14	224.016	scrambled	
224.017	14	238.017	bodies	
238.018	14	252.018	hands	
252.019	14	266.019	chairs	
266.02	14	280.02	tools	
280.021	14	294.021	scrambled	
294.022	14	308.022	bodies	
308.023	14	322.023	tools	
322.024	14	336.024	hands	
336.025	14	350.025	chairs	
350.026	14	364.026	scrambled	
364.027	14	378.027	bodies	
378.028	14	392.028	tools	
392.029	14	406.029	hands	
406.03	14	420.03	chairs	
420.031	14	434.031	scrambled	
434.032	14	448.032	baseline	
