onset	duration	stim_file
10.82	1	speech_23_ramp10_FILT.wav
18.83	1	animal_24_ramp10_FILT.wav
26.84	1	nature_24_ramp10_FILT.wav
32.84	1	voice_23_ramp10_FILT.wav
36.85	1	nature_22_ramp10_FILT.wav
40.84	1	animal_22_ramp10_FILT.wav
44.86	1	music_22_ramp10_FILT.wav
60.88	1	speech_20_ramp10_FILT.wav
66.88	1	nature_21_ramp10_FILT.wav
72.89	1	speech_24_ramp10_FILT.wav
80.9	1	music_24_ramp10_FILT.wav
86.91	1	voice_19_ramp10_FILT.wav
92.9	1	voice_21_ramp10_FILT.wav
96.92	1	animal_21_ramp10_FILT.wav
100.92	1	music_20_ramp10_FILT.wav
104.93	1	nature_23_ramp10_FILT.wav
110.93	1	nature_23_ramp10_FILT.wav
116.94	1	tools_22_ramp10_FILT.wav
120.94	1	music_21_ramp10_FILT.wav
124.95	1	speech_21_ramp10_FILT.wav
130.95	1	voice_24_ramp10_FILT.wav
136.97	1	tools_20_ramp10_FILT.wav
140.97	1	tools_19_ramp10_FILT.wav
144.97	1	nature_20_ramp10_FILT.wav
150.98	1	nature_20_ramp10_FILT.wav
156.99	1	speech_19_ramp10_FILT.wav
163	1	tools_24_ramp10_FILT.wav
179.01	1	speech_22_ramp10_FILT.wav
185.02	1	music_19_ramp10_FILT.wav
193.03	1	animal_23_ramp10_FILT.wav
201.03	1	music_23_ramp10_FILT.wav
207.04	1	voice_22_ramp10_FILT.wav
223.07	1	voice_20_ramp10_FILT.wav
227.07	1	tools_21_ramp10_FILT.wav
235.08	1	tools_23_ramp10_FILT.wav
239.08	1	nature_19_ramp10_FILT.wav
245.09	1	animal_19_ramp10_FILT.wav
249.09	1	animal_20_ramp10_FILT.wav
