onset	duration	sample	type	value
0	5.04	1	trial	n/a
1.87	0.001	1871	Stimulus	121
5.04	5.04	5041	trial	n/a
6.91	0.001	6911	Stimulus	10
10.08	5.04	10081	trial	n/a
11.95	0.001	11951	Stimulus	3
15.12	5.04	15121	trial	n/a
16.99	0.001	16991	Stimulus	1
20.16	5.04	20161	trial	n/a
22.03	0.001	22031	Stimulus	8
25.2	5.04	25201	trial	n/a
27.07	0.001	27071	Stimulus	119
30.24	5.04	30241	trial	n/a
32.11	0.001	32111	Stimulus	118
35.28	5.04	35281	trial	n/a
37.15	0.001	37151	Stimulus	2
40.32	5.04	40321	trial	n/a
42.19	0.001	42191	Stimulus	112
45.36	5.04	45361	trial	n/a
47.23	0.001	47231	Stimulus	6
50.4	5.04	50401	trial	n/a
52.27	0.001	52271	Stimulus	5
55.44	5.04	55441	trial	n/a
57.31	0.001	57311	Stimulus	9
60.48	5.04	60481	trial	n/a
62.35	0.001	62351	Stimulus	120
65.52	5.04	65521	trial	n/a
67.39	0.001	67391	Stimulus	115
70.56	5.04	70561	trial	n/a
72.43	0.001	72431	Stimulus	4
75.6	5.04	75601	trial	n/a
77.47	0.001	77471	Stimulus	117
80.64	5.04	80641	trial	n/a
82.51	0.001	82511	Stimulus	114
85.68	5.04	85681	trial	n/a
87.55	0.001	87551	Stimulus	11
90.72	5.04	90721	trial	n/a
92.59	0.001	92591	Stimulus	113
95.76	5.04	95761	trial	n/a
97.63	0.001	97631	Stimulus	116
100.8	5.04	100801	trial	n/a
102.67	0.001	102671	Stimulus	7
105.84	5.04	105841	trial	n/a
107.71	0.001	107711	Stimulus	22
110.88	5.04	110881	trial	n/a
112.75	0.001	112751	Stimulus	140
115.92	5.04	115921	trial	n/a
117.79	0.001	117791	Stimulus	25
120.96	5.04	120961	trial	n/a
122.83	0.001	122831	Stimulus	23
126	5.04	126001	trial	n/a
127.87	0.001	127871	Stimulus	29
131.04	5.04	131041	trial	n/a
132.91	0.001	132911	Stimulus	30
136.08	5.04	136081	trial	n/a
137.95	0.001	137951	Stimulus	133
141.12	5.04	141121	trial	n/a
