onset	duration	trial_type	response	response_time	condition
0.014	0.5	76.0	0.0	0.0	coco/000000367742.jpg
3.014	0.5	93.0	0.0	0.0	coco/000000444166.jpg
6.013999999999999	0.5	56.0	0.0	0.0	coco/000000254567.jpg
9.014	0.5	62.0	0.0	0.0	coco/000000302282.jpg
12.013	0.5	27.0	0.0	0.0	coco/000000115749.jpg
15.013	0.5	109.0	0.0	0.0	coco/000000526204.jpg
18.012999999999995	0.5	15.0	0.0	0.0	coco/000000060604.jpg
21.013	0.5	89.0	0.0	0.0	coco/000000419406.jpg
24.012	0.5	19.0	0.0	0.0	coco/000000069480.jpg
27.012	0.5	59.0	0.0	0.0	coco/000000281112.jpg
30.012	0.5	86.0	0.0	0.0	coco/000000411329.jpg
33.012	0.5	2000.0	0.0	0.0	n/a
36.011	0.5	108.0	0.0	0.0	coco/000000524991.jpg
39.011	0.5	83.0	0.0	0.0	coco/000000399981.jpg
42.011	0.5	64.0	0.0	0.0	coco/000000314313.jpg
45.01	0.5	36.0	0.0	0.0	coco/000000155543.jpg
48.01	0.5	2.0	0.0	0.0	coco/000000010948.jpg
51.01	0.5	105.0	0.0	0.0	coco/000000495388.jpg
54.01	0.5	49.0	0.0	0.0	coco/000000222964.jpg
57.00899999999999	0.5	29.0	0.0	0.0	coco/000000124419.jpg
60.00899999999999	0.5	77.0	0.0	0.0	coco/000000371365.jpg
63.00899999999999	0.5	1000.0	0.0	0.0	n/a
66.009	0.5	8.0	0.0	0.0	coco/000000025045.jpg
69.008	0.5	2000.0	0.0	0.0	n/a
72.008	0.5	45.0	0.0	0.0	coco/000000201308.jpg
75.008	0.5	106.0	0.0	0.0	coco/000000501506.jpg
78.008	0.5	84.0	0.0	0.0	coco/000000404064.jpg
81.007	0.5	58.0	0.0	0.0	coco/000000273362.jpg
84.007	0.5	2000.0	1.0	0.9291207790374756	n/a
87.007	0.5	6.0	0.0	0.0	coco/000000023047.jpg
90.007	0.5	38.0	0.0	0.0	coco/000000170439.jpg
93.006	0.5	101.0	0.0	0.0	coco/000000476299.jpg
96.006	0.5	4.0	0.0	0.0	coco/000000014103.jpg
99.006	0.5	66.0	0.0	0.0	coco/000000334658.jpg
102.006	0.5	33.0	0.0	0.0	coco/000000131780.jpg
105.005	0.5	1000.0	0.0	0.0	n/a
108.005	0.5	75.0	0.0	0.0	coco/000000363403.jpg
111.005	0.5	1000.0	0.0	0.0	n/a
114.005	0.5	114.0	0.0	0.0	coco/000000540056.jpg
117.021	0.5	20.0	0.0	0.0	coco/000000075324.jpg
120.021	0.5	110.0	0.0	0.0	coco/000000531414.jpg
123.02	0.5	5.0	0.0	0.0	coco/000000020106.jpg
126.02	0.5	37.0	0.0	0.0	coco/000000161578.jpg
129.02	0.5	46.0	0.0	0.0	coco/000000201644.jpg
132.02	0.5	97.0	0.0	0.0	coco/000000451024.jpg
135.019	0.5	113.0	0.0	0.0	coco/000000536366.jpg
138.019	0.5	118.0	0.0	0.0	coco/000000558900.jpg
141.019	0.5	74.0	0.0	0.0	coco/000000361051.jpg
144.019	0.5	85.0	0.0	0.0	coco/000000404262.jpg
147.018	0.5	73.0	0.0	0.0	coco/000000359519.jpg
150.001	0.5	2000.0	1.0	0.8147718906402588	n/a
153.018	0.5	57.0	0.0	0.0	coco/000000256617.jpg
156.018	0.5	100.0	0.0	0.0	coco/000000471755.jpg
159.017	0.5	1000.0	0.0	0.0	n/a
162.017	0.5	96.0	0.0	0.0	coco/000000448701.jpg
165.017	0.5	117.0	0.0	0.0	coco/000000556154.jpg
168.017	0.5	63.0	0.0	0.0	coco/000000308095.jpg
171.016	0.5	72.0	0.0	0.0	coco/000000354491.jpg
174.016	0.5	1000.0	0.0	0.0	n/a
177.016	0.5	102.0	0.0	0.0	coco/000000480447.jpg
180.016	0.5	116.0	0.0	0.0	coco/000000548088.jpg
183.015	0.5	2000.0	1.0	0.8490293025970459	n/a
186.015	0.5	21.0	0.0	0.0	coco/000000084120.jpg
189.015	0.5	54.0	0.0	0.0	coco/000000246218.jpg
192.015	0.5	1000.0	0.0	0.0	n/a
195.014	0.5	35.0	0.0	0.0	coco/000000142346.jpg
198.014	0.5	82.0	0.0	0.0	coco/000000399489.jpg
201.014	0.5	11.0	0.0	0.0	coco/000000030357.jpg
204.013	0.5	28.0	0.0	0.0	coco/000000119849.jpg
207.013	0.5	41.0	0.0	0.0	coco/000000179477.jpg
210.013	0.5	80.0	0.0	0.0	coco/000000394766.jpg
213.013	0.5	1000.0	0.0	0.0	n/a
216.012	0.5	50.0	0.0	0.0	coco/000000228274.jpg
219.012	0.5	69.0	0.0	0.0	coco/000000348368.jpg
222.012	0.5	18.0	0.0	0.0	coco/000000065781.jpg
225.012	0.5	1000.0	0.0	0.0	n/a
228.011	0.5	107.0	0.0	0.0	coco/000000510721.jpg
231.011	0.5	22.0	0.0	0.0	coco/000000097882.jpg
234.011	0.5	1000.0	0.0	0.0	n/a
237.011	0.5	119.0	0.0	0.0	coco/000000565004.jpg
240.01	0.5	1000.0	0.0	0.0	n/a
243.01	0.5	14.0	0.0	0.0	coco/000000057828.jpg
246.01	0.5	2000.0	1.0	1.0143635272979736	n/a
249.01	0.5	71.0	0.0	0.0	coco/000000353098.jpg
252.009	0.5	2000.0	1.0	0.8308167457580566	n/a
255.009	0.5	43.0	0.0	0.0	coco/000000188631.jpg
258.009	0.5	48.0	0.0	0.0	coco/000000218561.jpg
261.009	0.5	1000.0	0.0	0.0	n/a
264.008	0.5	95.0	0.0	0.0	coco/000000447242.jpg
267.008	0.5	61.0	0.0	0.0	coco/000000299307.jpg
270.008	0.5	16.0	0.0	0.0	coco/000000061624.jpg
273.008	0.5	42.0	0.0	0.0	coco/000000182366.jpg
276.007	0.5	39.0	0.0	0.0	coco/000000171936.jpg
279.007	0.5	2000.0	1.0	0.9530656337738036	n/a
282.007	0.5	91.0	0.0	0.0	coco/000000429215.jpg
285.007	0.5	98.0	0.0	0.0	coco/000000466532.jpg
288.006	0.5	70.0	0.0	0.0	coco/000000353055.jpg
291.006	0.5	81.0	0.0	0.0	coco/000000395396.jpg
294.006	0.5	13.0	0.0	0.0	coco/000000045672.jpg
297.006	0.5	32.0	0.0	0.0	coco/000000129766.jpg
300.005	0.5	112.0	0.0	0.0	coco/000000534876.jpg
303.005	0.5	3.0	0.0	0.0	coco/000000012179.jpg
306.005	0.5	2000.0	1.0	0.9074394702911376	n/a
309.005	0.5	67.0	0.0	0.0	coco/000000345701.jpg
312.004	0.5	2000.0	0.0	0.0	n/a
315.021	0.5	78.0	0.0	0.0	coco/000000384594.jpg
318.02	0.5	90.0	0.0	0.0	coco/000000426445.jpg
321.004	0.5	2000.0	0.0	0.0	n/a
324.02	0.5	104.0	0.0	0.0	coco/000000485822.jpg
327.02	0.5	34.0	0.0	0.0	coco/000000137564.jpg
330.0030000000001	0.5	2000.0	1.0	0.9173598289489746	n/a
333.019	0.5	47.0	0.0	0.0	coco/000000213095.jpg
336.019	0.5	9.0	0.0	0.0	coco/000000026393.jpg
339.0019999999999	0.5	1000.0	0.0	0.0	n/a
342.0180000000001	0.5	40.0	0.0	0.0	coco/000000176397.jpg
345.001	0.5	2000.0	0.0	0.0	n/a
348.0180000000001	0.5	51.0	0.0	0.0	coco/000000231778.jpg
351.0180000000001	0.5	1000.0	0.0	0.0	n/a
354.017	0.5	65.0	0.0	0.0	coco/000000314356.jpg
357.017	0.5	30.0	0.0	0.0	coco/000000128557.jpg
360.017	0.5	120.0	0.0	0.0	coco/000000566021.jpg
363.017	0.5	79.0	0.0	0.0	coco/000000388940.jpg
366.016	0.5	24.0	0.0	0.0	coco/000000102858.jpg
369.016	0.5	68.0	0.0	0.0	coco/000000346377.jpg
372.016	0.5	87.0	0.0	0.0	coco/000000413250.jpg
375.016	0.5	88.0	0.0	0.0	coco/000000415225.jpg
378.015	0.5	23.0	0.0	0.0	coco/000000102607.jpg
381.015	0.5	1.0	0.0	0.0	coco/000000007665.jpg
384.015	0.5	31.0	0.0	0.0	coco/000000129362.jpg
387.015	0.5	103.0	0.0	0.0	coco/000000482326.jpg
390.014	0.5	12.0	0.0	0.0	coco/000000036598.jpg
393.014	0.5	2000.0	0.0	0.0	n/a
396.014	0.5	92.0	0.0	0.0	coco/000000443718.jpg
399.013	0.5	52.0	0.0	0.0	coco/000000238980.jpg
402.013	0.5	26.0	0.0	0.0	coco/000000112614.jpg
405.013	0.5	94.0	0.0	0.0	coco/000000444495.jpg
408.013	0.5	44.0	0.0	0.0	coco/000000194564.jpg
411.012	0.5	111.0	0.0	0.0	coco/000000532175.jpg
414.012	0.5	99.0	0.0	0.0	coco/000000470762.jpg
417.012	0.5	7.0	0.0	0.0	coco/000000024081.jpg
420.012	0.5	2000.0	1.0	0.9964671134948728	n/a
423.011	0.5	10.0	0.0	0.0	coco/000000029114.jpg
426.011	0.5	17.0	0.0	0.0	coco/000000064681.jpg
429.011	0.5	53.0	0.0	0.0	coco/000000244157.jpg
432.011	0.5	1000.0	0.0	0.0	n/a
435.01	0.5	115.0	0.0	0.0	coco/000000540890.jpg
438.01	0.5	25.0	0.0	0.0	coco/000000108056.jpg
441.01	0.5	55.0	0.0	0.0	coco/000000252576.jpg
444.01	0.5	60.0	0.0	0.0	coco/000000283431.jpg
447.009	0.5	1000.0	0.0	0.0	n/a
