onset	duration	trial_type	trial_phase	score	score_txt	stim_dot_position	targetxdat	latency	eptrno
9.0	3.0	vgs	prep	n/a	n/a	n/a	165	n/a	5
12.0	1.5	vgs	resp	1	CORRECT	532	165	0.367	5
15.0	3.0	vgs	prep	n/a	n/a	n/a	161	n/a	8
18.0	1.5	vgs	resp	1	CORRECT	7	161	0.367	8
27.0	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	16
28.5	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	16
31.5	1.5	neutral	resp	0	INCORRECT	108	172	0.35	16
36.0	1.5	reward	cue	n/a	n/a	n/a	186	n/a	19
37.5	3.0	reward	prep	n/a	n/a	n/a	186	n/a	19
40.5	1.5	reward	resp	1	CORRECT	633	186	0.467	19
49.5	3.0	vgs	prep	n/a	n/a	n/a	163	n/a	24
52.5	1.5	vgs	resp	1	CORRECT	214	163	0.333	24
60.0	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	31
61.5	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	31
64.5	1.5	neutral	resp	2	ERROR_CORRECTED	108	172	0.367	31
78.0	1.5	neutral	cue	n/a	n/a	n/a	173	n/a	40
79.5	3.0	neutral	prep	n/a	n/a	n/a	173	n/a	40
82.5	1.5	neutral	resp	-1	DROP	214	173	-0.001	40
90.0	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	45
91.5	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	45
94.5	1.5	neutral	resp	0	INCORRECT	532	175	0.35	45
108.0	1.5	reward	cue	n/a	n/a	n/a	183	n/a	54
109.5	3.0	reward	prep	n/a	n/a	n/a	183	n/a	54
112.5	1.5	reward	resp	0	INCORRECT	214	183	0.2	54
118.5	1.5	reward	cue	n/a	n/a	n/a	181	n/a	58
120.0	3.0	reward	prep	n/a	n/a	n/a	181	n/a	58
123.0	1.5	reward	resp	0	INCORRECT	7	181	0.317	58
130.5	1.5	reward	cue	n/a	n/a	n/a	184	n/a	63
132.0	3.0	reward	prep	n/a	n/a	n/a	184	n/a	63
135.0	1.5	reward	resp	1	CORRECT	426	184	0.267	63
141.0	1.5	neutral	cue	n/a	n/a	n/a	173	n/a	67
142.5	3.0	neutral	prep	n/a	n/a	n/a	173	n/a	67
145.5	1.5	neutral	resp	-1	DROP	214	173	-0.001	67
159.0	3.0	vgs	prep	n/a	n/a	n/a	164	n/a	75
162.0	1.5	vgs	resp	1	CORRECT	426	164	0.367	75
172.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	84
174.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	84
177.0	1.5	neutral	resp	0	INCORRECT	532	175	0.4	84
181.5	1.5	reward	cue	n/a	n/a	n/a	181	n/a	87
183.0	3.0	reward	prep	n/a	n/a	n/a	181	n/a	87
186.0	1.5	reward	resp	1	CORRECT	7	181	0.567	87
192.0	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	91
193.5	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	91
196.5	1.5	neutral	resp	2	ERROR_CORRECTED	7	171	0.367	91
204.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	96
205.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	96
208.5	1.5	neutral	resp	-1	DROP	633	176	-0.001	96
220.5	1.5	reward	cue	n/a	n/a	n/a	182	n/a	104
222.0	3.0	reward	prep	n/a	n/a	n/a	182	n/a	104
225.0	1.5	reward	resp	-1	DROP	108	182	-0.001	104
237.0	1.5	neutral	cue	n/a	n/a	n/a	174	n/a	112
238.5	3.0	neutral	prep	n/a	n/a	n/a	174	n/a	112
241.5	1.5	neutral	resp	-1	DROP	426	174	-0.001	112
246.0	1.5	reward	cue	n/a	n/a	n/a	184	n/a	115
247.5	3.0	reward	prep	n/a	n/a	n/a	184	n/a	115
250.5	1.5	reward	resp	2	ERROR_CORRECTED	426	184	0.283	115
256.5	3.0	vgs	prep	n/a	n/a	n/a	162	n/a	118
259.5	1.5	vgs	resp	1	CORRECT	108	162	0.083	118
