onset	duration	sample	trial_type
2	16.3	2	surprised_face
18.3	16	18.3	surprised_fix
34.3	16.5	34.3	neutral_face
50.8	16	50.8	neutral_fix
66.8	16.5	66.8	surprised_face
83.3	16	83.3	surprised_fix
99.3	16.5	99.3	afraid_face
115.8	16	115.8	afraid_fix
131.8	16.5	131.8	neutral_face
148.3	16	148.3	neutral_fix
164.3	16.5	164.3	angry_face
180.8	16	180.8	angry_fix
196.8	16.5	196.8	afraid_face
213.3	16	213.3	afraid_fix
229.3	16.5	229.3	angry_face
245.8	16	245.8	angry_fix
2	16.3	2	block_faces
18.3	16	18.3	block_fixation
34.3	16.5	34.3	block_faces
50.8	16	50.8	block_fixation
66.8	16.5	66.8	block_faces
83.3	16	83.3	block_fixation
99.3	16.5	99.3	block_faces
115.8	16	115.8	block_fixation
131.8	16.5	131.8	block_faces
148.3	16	148.3	block_fixation
164.3	16.5	164.3	block_faces
180.8	16	180.8	block_fixation
196.8	16.5	196.8	block_faces
213.3	16	213.3	block_fixation
229.3	16.5	229.3	block_faces
245.8	16	245.8	block_fixation
